FIPS,State,County,Climate Region,MEDHINC16,GROCPTH16,CONVSPTH16,SUPERCPTH16,PCT_OBESE_ADULTS17,RECFACPTH16,largest_group,FFRPTH16,FSRPTH16,PCTADTLHS16_20,PCTADTWHS16_20,PCTADTWC16_20
40085,OK,Love,South,45200.0,0.100220485,0.701543395,0.0,36.5,0.0,white_not_hispanic_2017,0.501102425,1.202645821,16.20980886057194,41.17647058823529,29.23396058675359
6109,CA,Tuolumne,West,50431.0,0.297469649,0.464796326,0.0,25.1,0.092959265,white_not_hispanic_2017,0.483388179,1.041143771,9.003549267209117,25.69717748750513,42.96062003525122
48025,TX,Bee,South,40753.0,0.0609106,0.487284909,0.0304553,33.0,0.091365921,hispanic_2017,0.487284909,0.456829603,20.80896247637902,33.59128948078827,34.81508143615585
12051,FL,Hendry,Southeast,39911.0,0.252270434,0.681130172,0.0504541,28.4,0.07568113,hispanic_2017,0.529767911,0.479313824,30.91966966966967,33.57732732732732,27.28228228228228
20145,KS,Pawnee,South,46961.0,0.148323939,0.296647879,0.0,32.4,0.0,white_not_hispanic_2017,0.593295758,0.444971818,9.319497106365995,34.28457393733786,37.43763719816403
46061,SD,Hanson,Northern Rockies and Plains,61242.0,0.294985251,0.294985251,0.0,31.9,0.0,white_not_hispanic_2017,0.0,0.294985251,7.714150496923805,35.02129673450071,41.12636062470421
40153,OK,Woodward,South,57403.0,0.095584018,0.812464156,0.047792,36.5,0.095584018,white_not_hispanic_2017,0.716880138,0.860256165,11.56729999272039,40.03057436121424,29.00196549464948
19147,IA,Palo Alto,Upper Midwest,50642.0,0.221190002,0.663570007,0.0,36.4,0.0,white_not_hispanic_2017,0.774165008,1.327140013,7.283910650696019,29.75072839106507,38.18387827775979
27041,MN,Douglas,Upper Midwest,55257.0,0.215209964,0.726333629,0.0269012,28.4,0.134506228,white_not_hispanic_2017,0.645629893,0.995346085,4.483941148272429,30.55791142741252,37.79637892252664
30111,MT,Yellowstone,Northern Rockies and Plains,57351.0,0.114178423,0.336192023,0.0317162,25.3,0.228356846,white_not_hispanic_2017,0.704100274,0.79924896,5.169385879505355,29.27741430612301,32.72427818775763
48497,TX,Wise,South,57609.0,0.155122935,0.496393392,0.0155123,33.0,0.0155123,white_not_hispanic_2017,0.604979446,0.511905685,13.86431324456903,34.22827610371408,33.09609320252277
29047,MO,Clay,Ohio Valley,65973.0,0.129836406,0.280614168,0.0251296,32.5,0.117271593,white_not_hispanic_2017,0.695253013,0.644993759,6.649187707263346,27.99506758131906,32.50607573417616
40077,OK,Latimer,South,35942.0,0.094679038,0.378716152,0.0,36.5,0.0,white_not_hispanic_2017,0.189358076,0.189358076,12.65189421015011,36.71193709792709,35.25375268048606
36097,NY,Schuyler,Northeast,48109.0,0.111123458,0.444493833,0.0555617,25.7,0.111123458,white_not_hispanic_2017,0.555617291,1.166796311,8.941674861941145,34.63953400408503,33.25516302292155
22021, LA,Caldwell Parish,,35428.0,0.297885016,0.397180022,0.0,36.2,0.099295005,white_not_hispanic_2017,0.595770033,0.297885016,18.86240678461763,48.31115660184238,18.23365989179705
31071,NE,Garfield,Northern Rockies and Plains,44016.0,0.499750125,0.99950025,0.0,32.8,0.0,white_not_hispanic_2017,0.0,1.9990005,4.050464807436919,28.15405046480744,38.44621513944223
12069,FL,Lake,Southeast,50125.0,0.110305845,0.435260903,0.0208687,28.4,0.080493455,white_not_hispanic_2017,0.453148338,0.724441092,10.02199432917296,32.08711420015975,33.50671375951605
48145,TX,Falls,South,38559.0,0.173100225,0.634700825,0.0,33.0,0.0,white_not_hispanic_2017,0.288500375,0.403900525,22.55287752090506,34.92375799311363,30.10329562223315
33017,NH,Strafford,Northeast,69467.0,0.141431602,0.440009429,0.0157146,28.1,0.094287735,white_not_hispanic_2017,0.636442209,0.825017679,6.663249615581752,27.54414985322212,30.58221890871814
5079,AR,Lincoln,South,35419.0,0.072411296,0.579290369,0.0,35.0,0.072411296,white_not_hispanic_2017,0.362056481,0.506879073,20.6938038901143,47.66392620814116,23.13013835973531
13183,GA,Long,Southeast,44542.0,0.0537808,0.322684737,0.0,31.6,0.0,white_not_hispanic_2017,0.161342369,0.0537808,13.9835390946502,41.10288065843621,30.24691358024691
22061, LA,Lincoln Parish,,39158.0,0.083950721,0.545679686,0.0209877,36.2,0.062963041,white_not_hispanic_2017,0.776544169,0.587655046,11.21901950120426,27.74842669567244,25.87211560873281
48265,TX,Kerr,South,50461.0,0.097473487,0.506862133,0.0194947,33.0,0.097473487,white_not_hispanic_2017,0.877261385,0.721303805,10.6809430877156,28.25570968932961,32.87884382087663
2130, AK,Ketchikan Gateway Borough,,67125.0,0.291396518,0.218547388,0.0,34.2,0.218547388,white_not_hispanic_2017,0.801340424,0.947038683,6.119711042311661,30.70175438596491,37.71929824561403
27079,MN,Le Sueur,Upper Midwest,63451.0,0.144331385,0.505159847,0.0,28.4,0.144331385,white_not_hispanic_2017,0.180414231,0.829905463,5.466761681767281,35.28453629237504,36.37890664766365
21209,KY,Scott,Ohio Valley,64809.0,0.07488393,0.187209825,0.037442,34.3,0.037442,white_not_hispanic_2017,0.673955369,0.617792422,7.252543436161798,29.62932656902054,32.75782123666912
35029,NM,Luna,Southwest,28227.0,0.082345191,0.658761528,0.0411726,28.4,0.082345191,hispanic_2017,0.82345191,0.741106719,28.68783547823838,36.02147060725603,22.23371920067257
29147,MO,Nodaway,Ohio Valley,44923.0,0.0444603,0.35568202,0.0444603,32.5,0.088920505,white_not_hispanic_2017,0.53352303,0.577983283,6.718097074895532,38.02635808421729,27.89296046287367
51510,VA,Alexandria,Southeast,87822.0,0.235237272,0.298814913,0.00635776,30.1,0.184375159,white_not_hispanic_2017,0.794720513,1.13168201,6.984169327342298,10.30702668456197,17.65299232224881
48141,TX,El Paso,South,42048.0,0.138565867,0.287882534,0.0191125,33.0,0.083617334,hispanic_2017,0.717914536,0.640269869,21.04581417602166,23.15739725068266,31.76885196163092
22039, LA,Evangeline Parish,,34440.0,0.385642243,0.533966182,0.0296648,36.2,0.0296648,white_not_hispanic_2017,0.326312667,0.148323939,23.28101812294824,41.67378693169043,22.31865809236858
36087,NY,Rockland,Northeast,84358.0,0.33957935,0.278393881,0.00611855,25.7,0.137667304,white_not_hispanic_2017,0.847418738,0.960611855,11.49458029851333,21.92879489609988,24.7071593102466
48051,TX,Burleson,South,48533.0,0.224580316,1.066756499,0.0,33.0,0.112290158,white_not_hispanic_2017,0.50530571,0.673740947,15.86913677571935,36.90973590855341,25.93614505321246
21181,KY,Nicholas,Ohio Valley,38958.0,0.141582897,0.141582897,0.0,34.3,0.0,white_not_hispanic_2017,0.141582897,0.707914484,19.58113054087027,45.40463603090687,26.1081740544937
56021,WY,Laramie,Northern Rockies and Plains,61124.0,0.091866732,0.316429855,0.0306222,28.8,0.112281561,white_not_hispanic_2017,0.704311612,0.551200392,5.852936824974108,25.50377274744784,38.42284361591952
54035,WV,Jackson,Ohio Valley,43544.0,0.102838338,0.651309475,0.0342794,38.1,0.0342794,white_not_hispanic_2017,0.651309475,0.514191691,11.29260324735482,43.65888146667317,27.03203471646594
31017,NE,Brown,Northern Rockies and Plains,44709.0,1.00536193,1.675603217,0.0,32.8,0.0,white_not_hispanic_2017,0.0,1.340482574,4.483246814535158,36.5738555922605,34.73336479471449
1091,AL,Marengo,Southeast,34794.0,0.153806716,1.076647014,0.0512689,36.3,0.102537811,white_not_hispanic_2017,0.922840297,0.615226865,14.55662188099808,38.21113243761996,30.11900191938579
29195,MO,Saline,Ohio Valley,43095.0,0.175039384,0.831437073,0.0437598,32.5,0.087519692,white_not_hispanic_2017,0.568877998,0.568877998,15.26707325246297,36.86080021446283,25.32672072917365
6013,CA,Contra Costa,West,90920.0,0.17564737,0.195846818,0.00439118,25.1,0.122953159,white_not_hispanic_2017,0.615644033,0.664825297,10.10081051147805,17.23645791381394,29.33762082158679
42121,PA,Venango,Northeast,41395.0,0.13341211,0.495530694,0.0190589,31.6,0.0571766,white_not_hispanic_2017,0.40023633,0.648001677,8.98390076537345,48.02058590657165,23.71338083927158
19023,IA,Butler,Upper Midwest,54970.0,0.272349697,0.680874243,0.0,36.4,0.0,white_not_hispanic_2017,0.204262273,0.612786818,6.467613304804513,37.01614471892628,38.35829605135188
45029,SC,Colleton,Southeast,35760.0,0.239368068,0.904279369,0.0265965,34.1,0.0531929,white_not_hispanic_2017,0.664911301,0.611718397,12.43331809175431,44.17771681146166,27.09571711629325
38015,ND,Burleigh,Northern Rockies and Plains,66406.0,0.116489638,0.349468913,0.0317699,33.2,0.148259539,white_not_hispanic_2017,0.61421809,0.593038156,5.560382276281494,22.42925406478838,35.48156882214224
8011,CO,Bent,Southwest,33951.0,0.352050695,0.528076043,0.0,22.6,0.0,white_not_hispanic_2017,0.176025348,0.352050695,11.62100456621005,49.36073059360731,23.88127853881279
20129,KS,Morton,South,49717.0,1.071428571,0.357142857,0.0,32.4,0.0,white_not_hispanic_2017,0.714285714,0.714285714,15.59934318555008,31.14395183360701,36.94581280788177
