FIPS,State,County,Climate Region,MEDHINC16,GROC16,CONVS16,SUPERC16,PCT_OBESE_ADULTS17,RECFAC16,largest_group,FFR16,FSR16,PCTADTLHS16_20,PCTADTWHS16_20,PCTADTWC16_20
54067,WV,Nicholas,Ohio Valley,37359.0,6,19,1,38.1,1,white_not_hispanic_2017,14,25,11.72428956191942,48.37025229483867,22.15687352278349
26045,MI,Eaton,Upper Midwest,57807.0,11,43,5,32.3,8,white_not_hispanic_2017,72,66,5.42305802012468,26.75185597144261,38.66370056131819
56013,WY,Fremont,Northern Rockies & Plains,49282.0,9,20,1,28.8,6,white_not_hispanic_2017,23,30,8.202993136041409,30.19016541014966,36.79531900528863
5125,AR,Saline,South,63618.0,12,37,2,35.0,12,white_not_hispanic_2017,70,45,8.718827336759945,30.96087949743004,32.68846373500857
27015,MN,Brown,Upper Midwest,56049.0,7,11,1,28.4,5,white_not_hispanic_2017,20,21,7.063197026022305,35.81552044609666,34.49697955390334
54003,WV,Berkeley,Ohio Valley,56966.0,12,41,2,38.1,10,white_not_hispanic_2017,57,60,9.693927763015452,37.39420332644425,30.10161401436867
39113,OH,Montgomery,Ohio Valley,47239.0,85,200,12,33.8,67,white_not_hispanic_2017,487,332,9.4696389077452,27.78455996671557,34.42036919438544
13277,GA,Tift,Southeast,39982.0,8,50,1,31.6,4,white_not_hispanic_2017,43,30,16.80607485641599,34.00917395829318,31.91997841421578
37025,NC,Cabarrus,Southeast,63059.0,31,73,6,32.1,22,white_not_hispanic_2017,160,133,9.413011623109645,25.40936962057732,31.65768021510578
47187,TN,Williamson,Ohio Valley,107942.0,28,61,4,32.8,52,white_not_hispanic_2017,181,190,4.778687606637725,13.02380121081166,21.7359798154138
21183,KY,Ohio,Ohio Valley,40859.0,3,21,1,34.3,1,white_not_hispanic_2017,13,13,17.88702290076336,40.38473282442748,28.73282442748092
51680,VA,Lynchburg,Southeast,41586.0,18,43,3,30.1,14,white_not_hispanic_2017,87,79,11.429074967506,24.30330667724099,28.30392351243584
51570,VA,Colonial Heights,Southeast,52673.0,4,14,2,30.1,2,white_not_hispanic_2017,37,35,8.175531039025193,30.99785937757286,34.21702618145891
39091,OH,Logan,Ohio Valley,53760.0,12,16,1,33.8,2,white_not_hispanic_2017,38,33,7.464928258716006,45.46064615089637,30.01310197168696
38035,ND,Grand Forks,Northern Rockies & Plains,51820.0,11,31,4,33.2,7,white_not_hispanic_2017,55,47,4.596434049079755,21.89896472392638,37.29390337423312
26143,MI,Roscommon,Upper Midwest,37817.0,4,19,1,32.3,3,white_not_hispanic_2017,18,30,10.00314564328405,36.55237496067946,37.18150361748977
53047,WA,Okanogan,Northwest,41726.0,18,25,1,27.7,5,white_not_hispanic_2017,19,46,15.40939142227496,29.64231225631463,34.71435836582472
4021,AZ,Pinal,Southwest,52642.0,31,83,7,29.5,13,white_not_hispanic_2017,132,116,12.94349983141467,30.32705553682386,35.83289180033075
32003,NV,Clark,West,54455.0,201,681,26,26.7,169,white_not_hispanic_2017,1867,1394,13.7460507751867,28.29568863748799,32.79564544795399
1003,AL,Baldwin,Southeast,56460.0,29,118,7,36.3,21,white_not_hispanic_2017,156,236,9.528615416262221,27.1735566940725,31.39049774046528
21047,KY,Christian,Ohio Valley,41081.0,12,33,2,34.3,7,white_not_hispanic_2017,50,39,13.36932672632695,29.86465498114045,38.01987032517319
37145,NC,Person,Southeast,47974.0,5,39,1,32.1,7,white_not_hispanic_2017,26,13,11.82210280704235,35.95418228098706,36.51276249734851
6065,CA,Riverside,West,59951.0,349,456,27,25.1,180,hispanic_2017,1541,1211,17.24017400143468,26.6679178714236,32.84343208823765
42063,PA,Indiana,Northeast,43171.0,9,35,2,31.6,4,white_not_hispanic_2017,48,46,9.225933908045977,41.49784482758621,24.27622126436782
17007,IL,Boone,Ohio Valley,62081.0,6,21,1,31.1,3,white_not_hispanic_2017,27,16,13.31510127339543,32.27929236817366,30.22248810642965
46011,SD,Brookings,Northern Rockies & Plains,58591.0,4,17,1,31.9,6,white_not_hispanic_2017,25,25,3.630380553049201,25.09420943686641,29.02712170266971
28137,MS,Tate,South,45643.0,1,14,1,37.3,1,white_not_hispanic_2017,22,6,13.76520387933344,33.6548250549215,35.3587311793388
51510,VA,Alexandria,Southeast,87822.0,37,47,1,30.1,29,white_not_hispanic_2017,125,178,6.984169327342298,10.30702668456197,17.65299232224881
20113,KS,McPherson,South,56488.0,7,9,1,32.4,4,white_not_hispanic_2017,20,23,8.574655986855618,27.17703840624358,35.41795029780243
41031,OR,Jefferson,Northwest,44943.0,7,10,1,29.4,3,white_not_hispanic_2017,12,13,11.69731685257763,30.3406692794694,36.52698221284293
20175,KS,Seward,South,48648.0,5,6,1,32.4,1,hispanic_2017,10,17,30.11257035647279,30.62070043777361,28.05659787367104
49041,UT,Sevier,Southwest,50909.0,3,12,1,25.3,2,white_not_hispanic_2017,17,15,8.953894127255179,31.22726260301433,38.91899918330982
21227,KY,Warren,Ohio Valley,47253.0,19,49,4,34.3,13,white_not_hispanic_2017,97,96,11.70398243963625,26.78958921291941,29.2793979303857
27137,MN,St. Louis,Upper Midwest,50156.0,32,105,4,28.4,20,white_not_hispanic_2017,121,169,5.535404163643958,25.9286127781808,38.38803520264972
13233,GA,Polk,Southeast,42470.0,10,38,2,31.6,3,white_not_hispanic_2017,27,28,19.25904673098304,38.84804361080228,29.15037836674676
39173,OH,Wood,Ohio Valley,60347.0,16,39,5,33.8,12,white_not_hispanic_2017,119,92,5.085162639119473,30.43472913976511,30.15310828260468
48141,TX,El Paso,South,42048.0,116,241,16,33.0,70,hispanic_2017,601,536,21.04581417602166,23.15739725068266,31.76885196163092
48187,TX,Guadalupe,South,67683.0,8,59,3,33.0,6,white_not_hispanic_2017,71,57,11.19109461966605,30.65769944341373,30.13265306122449
5035,AR,Crittenden,South,37627.0,9,30,1,35.0,2,white_not_hispanic_2017,30,22,16.2710107847265,34.33623732875603,31.94287009748356
16087,ID,Washington,Northwest,41647.0,2,6,1,29.3,1,white_not_hispanic_2017,7,8,12.6149986060775,30.27599665458601,38.12378031781433
49007,UT,Carbon,Southwest,49743.0,4,10,1,25.3,2,white_not_hispanic_2017,15,14,7.841954456341426,29.38470818881013,46.01115970441864
6081,CA,San Mateo,West,107075.0,182,148,4,25.1,107,white_not_hispanic_2017,593,828,9.572362947045503,14.88174050197883,23.4737325721893
26033,MI,Chippewa,Upper Midwest,43683.0,13,21,1,32.3,1,white_not_hispanic_2017,23,40,7.849437686481524,33.19179863820671,36.33998928926631
28123,MS,Scott,South,34452.0,8,30,1,37.3,1,white_not_hispanic_2017,19,16,22.48087253784796,34.46741548646155,31.79771013077215
28047,MS,Harrison,South,42988.0,20,95,5,37.3,23,white_not_hispanic_2017,170,183,10.97772656329769,28.39097393409864,36.91235030704377
1019,AL,Cherokee,Southeast,41456.0,5,18,1,36.3,1,white_not_hispanic_2017,15,12,17.17599122394609,39.15269289035157,30.73708405161156
