FIPS,State,County,Climate Region,MEDHINC16,GROC16,CONVS16,SUPERC16,PCT_OBESE_ADULTS17,RECFAC16,largest_group,FFR16,FSR16,PCTADTLHS16_20,PCTADTWHS16_20,PCTADTWC16_20,highest_education_pct
37087,NC,Haywood,Southeast,45290,10,35,1,32.1,2,White & Not Hispanic,41,60,11.49092314,26.29286297,34.38479035,College Degree
18141,IN,St. Joseph,Ohio Valley,48960,41,99,9,33.6,34,White & Not Hispanic,206,193,10.1913346,29.96238818,28.86283546,HS Diploma
26107,MI,Mecosta,Upper Midwest,41759,8,25,2,32.3,2,White & Not Hispanic,19,30,8.525496472,36.51342111,32.03971776,HS Diploma
47105,TN,Loudon,Ohio Valley,56774,8,33,1,32.8,5,White & Not Hispanic,42,26,13.01702541,30.56393476,29.16048878,HS Diploma
5059,AR,Hot Spring,South,46313,6,15,1,35,2,White & Not Hispanic,18,10,12.53780816,38.4462399,33.6813756,HS Diploma
27053,MN,Hennepin,Upper Midwest,71184,232,327,19,28.4,207,White & Not Hispanic,991,966,6.357411732,15.87108359,26.74203548,College Degree
51171,VA,Shenandoah,Southeast,53810,9,32,1,30.1,2,White & Not Hispanic,20,31,11.9095784,41.03329801,27.40262659,HS Diploma
22109,LA,Terrebonne,South,49206,18,65,3,36.2,11,White & Not Hispanic,84,82,19.416427,38.83690471,25.96103212,HS Diploma
36009,NY,Cattaraugus,Northeast,46224,19,37,2,25.7,6,White & Not Hispanic,41,72,10.32527264,39.1503082,30.6173542,HS Diploma
5093,AR,Mississippi,South,35846,10,22,2,35,5,White & Not Hispanic,29,29,17.94719668,38.76816968,27.6957876,HS Diploma
27123,MN,Ramsey,Upper Midwest,60287,102,160,6,28.4,59,White & Not Hispanic,386,361,9.017647798,21.0568457,26.92587269,College Degree
18043,IN,Floyd,Ohio Valley,58703,10,25,2,33.6,4,White & Not Hispanic,72,48,9.040871732,30.29677563,30.52735319,College Degree
19059,IA,Dickinson,Upper Midwest,58019,2,13,1,36.4,4,White & Not Hispanic,20,29,4.087829946,26.32562485,37.36665888,College Degree
28093,MS,Marshall,South,37561,2,33,1,37.3,1,White & Not Hispanic,14,6,18.89474329,37.18906997,30.03716865,HS Diploma
40099,OK,Murray,South,48008,2,10,1,36.5,2,White & Not Hispanic,11,12,15.0764147,39.7976043,26.60057827,HS Diploma
